0.362534917 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 165376
0.369870936 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e3695 0xa13ddc15 16 14 165376 86483 29696
0.374610473 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 171008
0.381903711 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e41e5 0xa13de765 16 14 171008 86335 29696
0.386743381 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 177152
0.393904434 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e4d35 0xa13df2b5 16 14 177152 86264 29696
0.399743523 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 182784
0.405945968 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e5885 0xa13dfe05 16 14 182784 86376 29696
0.411792162 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 188416
0.417975212 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e63d5 0xa13e0955 16 14 188416 86474 29696
0.423104064 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 194048
0.429425084 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e6f25 0xa13e14a5 16 14 194048 86449 29696
0.435195021 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 200192
0.442465542 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e7a75 0xa13e1ff5 16 14 200192 86331 29696
0.447284356 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 205824
0.453673691 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e85c5 0xa13e2b45 16 14 205824 87860 29696
0.460218838 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 211456
0.467227839 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e9115 0xa13e3695 17 14 211456 89100 29696
0.471507106 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 217600
0.477713125 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e9c65 0xa13e41e5 17 14 217600 90149 29696
0.483662782 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 223232
0.489896043 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ea7b5 0xa13e4d35 17 14 223232 90867 29696
0.495752439 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 228864
0.502070688 10.0.0.2:34276 10.0.0.1:5001 32 0xa13eb305 0xa13e5885 17 14 228864 91519 29696
0.507900279 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 235008
0.515063000 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ebe55 0xa13e63d5 17 14 235008 92108 29696
0.519780734 127.0.0.1:6633 127.0.0.1:59396 40 0x6b9515b9 0x6b9515b9 10 2147483647 44032 4075 44032
0.527437870 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ec9a5 0xa13e6f25 17 14 237568 92743 29696
